,value
lookback,20
threshold,0.02
ticker,GDX
account_size,100000.0
position_fraction,1.0
commission_bps,10.0
slippage_bps,5.0
commission_fixed,0.0
allow_fractional_shares,False
direction_sign,-1
start_equity,100000.0
end_equity,11209.153258140252
total_return,-0.8879084674185975
annualized_return,-0.13449078433741019
annualized_vol,0.2868121174063514
sharpe,-0.46891597730811885
max_drawdown,-0.9004019199687514
n_trades,1384
n_open_at_end,0
trades_per_month,9.165562913907285
turnover_total_dollars,131983523.89716682
turnover_annualized_ratio,221.0917164305603
total_commission_paid,131983.5238971668
total_slippage_cost,65991.78924469283
win_rate,0.46170520231213874
