quarter,fit_window_rows,train_accuracy,n_predicted
2010Q3,139,0.6258992805755396,64
2010Q4,203,0.5566502463054187,64
2011Q1,267,0.5692883895131086,62
2011Q2,329,0.5562310030395137,63
2011Q3,392,0.5459183673469388,64
2011Q4,456,0.5460526315789473,63
2012Q1,519,0.5606936416184971,62
2012Q2,581,0.5473321858864028,63
2012Q3,644,0.5279503105590062,63
2012Q4,707,0.5261669024045261,62
2013Q1,769,0.5344603381014305,60
2013Q2,829,0.5392038600723763,64
2013Q3,893,0.5307950727883539,64
2013Q4,957,0.5360501567398119,64
2014Q1,1021,0.5416258570029383,61
2014Q2,1082,0.5425138632162662,63
2014Q3,1145,0.5475982532751091,64
2014Q4,1209,0.5409429280397022,64
2015Q1,1273,0.5349567949725059,61
2015Q2,1334,0.5344827586206896,63
2015Q3,1397,0.5390121689334287,64
2015Q4,1461,0.5393566050650239,64
2016Q1,1525,0.5527868852459017,61
2016Q2,1586,0.5315258511979823,64
2016Q3,1650,0.5466666666666666,64
2016Q4,1714,0.5390898483080513,63
2017Q1,1777,0.5436128306133934,62
2017Q2,1839,0.5394235997824904,63
2017Q3,1902,0.5399579390115667,63
2017Q4,1965,0.5338422391857507,63
2018Q1,2028,0.5340236686390533,61
2018Q2,2089,0.5332695069411202,64
2018Q3,2153,0.5322805387830933,63
2018Q4,2216,0.5315884476534296,34
