,value
ticker,GDX
account_size,100000.0
position_fraction,1.0
commission_bps,0.0
slippage_bps,5.0
commission_fixed,0.0
commission_per_share,0.005
allow_fractional_shares,False
start_equity,100000.0
end_equity,17238.218600706186
total_return,-0.8276178139929381
cagr,-0.1313515589756039
annualized_return,-0.11862482649143265
annualized_vol,0.21014509484907584
sharpe,-0.5644901042140805
max_drawdown,-0.8554338541162755
n_trades,1055
n_open_at_end,0
trades_per_month,6.986754966887418
turnover_total_dollars,114387653.54427311
turnover_annualized_ratio,132.26381461006036
total_commission_paid,19276.61
total_slippage_cost,57193.82519929367
win_rate,0.4834123222748815
