entry_date,exit_date,direction,entry_price,exit_price,shares,entry_notional,exit_notional,commission_paid,slippage_cost,gross_pnl,net_pnl,return_pct,holding_days
2010-07-02,2010-07-06,1,43.025501999999996,42.4097845,2324.0,99991.26664799999,98560.339178,23.240000000000002,99.27546999998805,-1430.927469999989,-1454.167469999989,-0.014542944786559268,1
2010-07-07,2010-07-08,1,43.493736,42.8175805,2265.0,98513.31203999999,96981.8198325,22.650000000000002,97.74720749999425,-1531.4922075000004,-1554.1422075000005,-0.015775961393613102,1
2010-07-09,2010-07-12,1,43.814896499999996,43.494242,2213.0,96962.3659545,96252.757546,22.13,96.60740849998953,-709.6084084999918,-731.7384084999918,-0.007546622870602839,1
2010-07-13,2010-07-14,1,43.70284049999999,43.6131825,2202.0,96233.65478099999,96036.22786500001,22.02,96.13491599998576,-197.42691599998437,-219.44691599998438,-0.002280355209405506,1
2010-07-15,2010-07-16,1,43.5027405,42.140919000000004,2207.0,96010.5482835,93005.00823300002,22.07,94.50705049998936,-3005.5400504999952,-3027.6100504999954,-0.031534139785975045,1
2010-07-19,2010-07-20,1,41.306643,42.114932,2251.0,92981.253393,94800.711932,22.51,93.89146099999863,1819.4585390000045,1796.9485390000045,0.01932592295142459,1
2010-07-21,2010-07-22,1,41.8098945,42.600689,2267.0,94783.0308315,96575.76196300001,22.67,95.67986849998718,1792.7311315000093,1770.0611315000092,0.018674873719186354,1
2010-07-23,2010-07-26,1,42.695336999999995,42.296841,2262.0,96576.85229399998,95675.454342,22.62,96.12595199998363,-901.3979519999873,-924.0179519999873,-0.009567695882105216,1
2010-07-27,2010-07-28,1,40.9074435,41.083448000000004,2338.0,95641.60290299999,96053.10142400001,23.38,95.8474789999859,411.4985210000112,388.1185210000112,0.004058051195499538,1
2010-07-29,2010-07-30,1,41.3156475,41.929025,2324.0,96017.56478999999,97443.05410000001,23.240000000000002,96.73068999998944,1425.4893100000131,1402.249310000013,0.014604091585397655,1
2010-08-02,2010-08-03,1,41.662821,41.925027,2338.0,97407.675498,98020.713126,23.38,97.71437199999039,613.0376279999978,589.6576279999978,0.006053502714086476,1
2010-08-04,2010-08-05,-1,42.9735025,43.103541,2281.0,98022.55920250001,98319.177021,22.81,98.17081849998729,-296.6178184999948,-319.4278184999948,-0.003258717392188308,1
2010-08-06,2010-08-09,1,43.52875349999999,43.468255000000006,2244.0,97678.52285399998,97542.76422000001,22.44,97.61063399998031,-135.75863399997112,-158.19863399997112,-0.001619584626975067,1
2010-08-10,2010-08-11,1,43.658818499999995,42.592693,2234.0,97533.80052899999,95152.076162,22.34,96.34236699998893,-2381.724366999996,-2404.0643669999963,-0.024648525474870522,1
2010-08-12,2010-08-13,1,43.667823,43.1474155,2179.0,95152.186317,94018.21837450001,21.79,94.58494249998606,-1133.9679424999945,-1155.7579424999944,-0.012146414993025814,1
2010-08-16,2010-08-17,1,44.005992,44.4387695,2136.0,93996.798912,94921.211652,21.36,94.45925999999253,924.4127400000006,903.0527400000005,0.009607271209793437,1
2010-08-18,2010-08-19,1,45.229603499999996,44.872552500000005,2098.0,94891.708143,94142.615145,20.98,94.51699799998686,-749.0929979999819,-770.0729979999819,-0.008115282284090582,1
2010-08-20,2010-08-23,1,44.60529149999999,44.11793,2110.0,94117.16506499998,93088.83230000001,21.1,93.60276499998676,-1028.3327649999821,-1049.432764999982,-0.011150280230765707,1
2010-08-24,2010-08-25,1,43.667823,45.037470000000006,2131.0,93056.130813,95974.84857000002,21.31,94.51624299998693,2918.7177570000163,2897.4077570000163,0.031136129685237747,1
2010-08-26,2010-08-27,1,45.785881499999995,46.320828000000006,2096.0,95967.20762399999,97088.455488,20.96,96.52813599998365,1121.2478640000227,1100.2878640000226,0.01146524829930403,1
2010-08-30,2010-08-31,1,46.055015999999995,46.5197285,2107.0,97037.91871199998,98017.0679495,21.07,97.52776249999633,979.1492375000096,958.0792375000095,0.009873245945675159,1
2010-09-01,2010-09-02,1,45.854915999999996,46.47675,2137.0,97991.955492,99320.81475,21.37,98.65674199998372,1328.8592580000147,1307.4892580000148,0.013342822392260123,1
2010-09-03,2010-09-07,1,46.597286999999994,46.8235765,2131.0,99298.81859699999,99781.04152150001,21.31,99.5400754999917,482.2229245000152,460.9129245000152,0.004641675812585551,1
2010-09-08,2010-09-09,1,46.5842805,45.696140500000006,2142.0,99783.528831,97881.132951,21.42,98.83187999998731,-1902.3958799999846,-1923.8158799999846,-0.019279894212383356,1
2010-09-10,2010-09-13,1,46.0560165,45.965006,2125.0,97869.0350625,97675.63775000001,21.25,97.77231249998763,-193.39731249999124,-214.64731249999124,-0.0021932096537266937,1
2010-09-14,2010-09-15,1,47.564770499999995,47.344316000000006,2053.0,97650.4738365,97197.88074800001,20.53,97.42408849998668,-452.5930884999758,-473.1230884999758,-0.004845067001847264,1
2010-09-16,2010-09-17,-1,48.0289735,47.5127445,2023.0,97162.6133905,96118.28212349999,20.23,96.64073299999463,1044.3312670000055,1024.1012670000055,0.010540075356805257,1
2010-09-20,2010-09-21,-1,47.993991,48.346161,2046.0,98195.705586,98916.245406,20.46,98.55581999999782,-720.539820000002,-740.999820000002,-0.007546153017364216,1
2010-09-22,2010-09-23,-1,48.861557000000005,48.4242,1994.0,97429.94465800001,96557.8548,19.94,96.99414199999688,872.0898580000115,852.1498580000115,0.0087462828906579,1
2010-09-24,2010-09-27,-1,48.2748505,47.963969999999996,2036.0,98287.59561799999,97654.64292,20.36,97.97130199999702,632.9526980000065,612.5926980000065,0.00623265524146995,1
2010-09-28,2010-09-29,-1,49.0864445,49.0755255,2015.0,98909.1856675,98887.1838825,20.150000000000002,98.89821499998777,22.001785000002485,1.851785000002483,1.8722073056263673e-05,1
2010-09-30,2010-10-01,-1,48.514730500000006,49.153564499999995,2039.0,98921.5354895,100224.11801549999,20.39,99.57252599998424,-1302.5825259999767,-1322.9725259999768,-0.01337395865777279,1
2010-10-04,2010-10-05,-1,48.210882500000004,49.708842,2024.0,97578.82618,100610.696208,20.240000000000002,99.0940279999902,-3031.870027999986,-3052.110027999986,-0.031278404829034046,1
2010-10-06,2010-10-07,-1,50.404785000000004,49.09253399999999,1876.0,94559.37666000001,92097.59378399998,18.76,93.32912399998384,2461.7828760000198,2443.0228760000196,0.025835860623153344,1
2010-10-08,2010-10-11,-1,49.659158,49.83090299999999,1953.0,96984.335574,97319.75355899999,19.53,97.15198499998903,-335.4179849999888,-354.94798499998876,-0.0036598486023463033,1
2010-10-12,2010-10-13,-1,49.574200499999996,50.8544145,1949.0,96620.1167745,99115.2538605,19.490000000000002,97.8670859999939,-2495.1370860000015,-2514.6270860000013,-0.02602591644417948,1
2010-10-14,2010-10-15,-1,50.42177650000001,49.838907,1867.0,94137.45672550001,93049.239369,18.67,93.59364349998978,1088.2173565000153,1069.5473565000152,0.011361549309949603,1
2010-10-18,2010-10-19,-1,49.7281235,47.3306535,1914.0,95179.628379,90590.870799,19.14,92.88641999998548,4588.75758000001,4569.61758000001,0.04801045830736012,1
2010-10-20,2010-10-21,-1,48.063956000000005,47.1305535,2076.0,99780.77265600002,97843.02906599999,20.76,98.81240999998931,1937.7435900000141,1916.9835900000141,0.019211953755949817,1
2010-10-22,2010-10-25,-1,47.578199,48.3551655,2137.0,101674.611263,103334.98867349999,21.37,102.50441049998724,-1660.3774105000007,-1681.7474105000006,-0.01654048527561962,1
2010-10-26,2010-10-27,-1,48.297839,47.469722999999995,2070.0,99976.52673000001,98262.32660999999,20.7,99.11987999999226,1714.2001200000177,1693.5001200000177,0.016938977331884528,1
2010-10-28,2010-10-29,-1,48.8705525,49.7258505,2081.0,101699.6197525,103479.4948905,20.81,102.58913800000059,-1779.875137999995,-1800.685137999995,-0.01770591809863409,1
2010-11-01,2010-11-02,-1,49.659158,50.0820285,2011.0,99864.566738,100714.9593135,20.11,100.2895754999945,-850.3925755000039,-870.5025755000039,-0.008716831243896684,1
2010-11-03,2010-11-04,-1,49.661157,52.044008999999996,1994.0,99024.347058,103775.753946,19.94,101.39888799998386,-4751.406887999985,-4771.346887999985,-0.048183573330762154,1
2010-11-05,2010-11-08,-1,52.095939,53.6237985,1809.0,94241.55365100001,97005.4514865,18.09,95.62283549999408,-2763.8978354999967,-2781.987835499997,-0.029519757768450974,1
2010-11-09,2010-11-10,-1,51.81807800000001,53.258615999999996,1765.0,91458.90767000002,94001.45723999999,17.650000000000002,92.72956999998468,-2542.5495699999815,-2560.1995699999816,-0.027992894680501066,1
2010-11-11,2010-11-12,-1,53.561206000000006,52.156065,1660.0,88911.60196000001,86579.0679,16.6,87.74593999998487,2332.5340600000127,2315.934060000013,0.026047602438227537,1
2010-11-15,2010-11-16,1,51.3926835,49.963006,1775.0,91222.0132125,88684.33565,17.75,89.9525624999983,-2537.6775624999946,-2555.4275624999946,-0.028013277415256922,1
2010-11-17,2010-11-18,1,50.394184499999994,51.15940750000001,1759.0,88643.37053549998,89989.3977925,17.59,89.31674299998139,1346.027257000023,1328.437257000023,0.014986312557553406,1
2010-11-19,2010-11-22,1,51.453714,52.051961000000006,1749.0,89992.545786,91038.87978900001,17.490000000000002,90.51599699999639,1046.3340030000136,1028.8440030000136,0.011432546929459898,1
2010-11-23,2010-11-24,-1,51.688143000000004,51.73985699999999,1761.0,91022.81982300001,91113.88817699999,17.61,91.06835399998208,-91.06835399998208,-108.67835399998208,-0.0011939682182041211,1
2010-11-26,2010-11-29,-1,50.843565500000004,51.062518499999996,1788.0,90908.29511400001,91299.783078,17.88,91.10396399998695,-391.4879639999856,-409.3679639999856,-0.004503087022879855,1
2010-11-30,2010-12-01,1,51.6708225,52.303835,1751.0,90475.6101975,91584.01508499999,17.51,91.03011249999236,1108.4048874999992,1090.8948874999992,0.012057336613908159,1
2010-12-02,2010-12-03,-1,53.06645350000001,54.448210499999995,1726.0,91592.69874100001,93977.61132299999,17.26,92.78458199998323,-2384.9125819999763,-2402.1725819999765,-0.026226681984692763,1
2010-12-06,2010-12-07,-1,55.31233000000001,54.12705,1612.0,89163.47596000001,87252.80459999999,16.12,88.20863999998227,1910.671360000021,1894.551360000021,0.021248065304788514,1
2010-12-08,2010-12-09,-1,53.023475,53.310641999999994,1718.0,91094.33004999999,91587.68295599999,17.18,91.34090599999116,-493.35290599999416,-510.53290599999417,-0.005604442183391349,1
2010-12-10,2010-12-13,1,53.476725,53.9340195,1694.0,90589.57215,91364.229033,16.94,90.97711699999918,774.6568829999935,757.7168829999935,0.008364283714083017,1
2010-12-14,2010-12-15,-1,53.91702800000001,52.93345349999999,1694.0,91335.44543200002,89669.27022899999,16.94,90.50279699998103,1666.1752030000293,1649.2352030000293,0.01805690217198205,1
2010-12-16,2010-12-17,-1,52.104934500000006,52.2611175,1784.0,92955.20314800002,93233.83361999999,17.84,93.0944719999863,-278.6304719999849,-296.47047199998485,-0.003189390824394789,1
2010-12-20,2010-12-21,1,52.5992865,52.484744500000005,1762.0,92679.942813,92478.11980900001,17.62,92.57900399999194,-201.82300399998775,-219.44300399998775,-0.0023677507488622123,1
2010-12-22,2010-12-23,1,51.96596999999999,52.298837500000005,1779.0,92447.46062999999,93039.63191250002,17.79,92.74371749998562,592.1712825000235,574.3812825000235,0.006213056352070658,1
2010-12-27,2010-12-28,-1,51.950012,53.382678,1791.0,93042.471492,95608.376298,17.91,94.32480599999104,-2565.9048059999955,-2583.8148059999953,-0.027770272699840712,1
2010-12-29,2010-12-30,-1,53.503235000000004,53.172573,1691.0,90473.97038500001,89914.820943,16.91,90.19455799999417,559.1494420000064,542.2394420000064,0.005993319843183385,1
2010-12-31,2011-01-03,-1,53.625174,53.050512,1697.0,91001.920278,90026.718864,16.97,90.51458599999415,975.201414000006,958.231414000006,0.010529793339225407,1
2011-01-04,2011-01-05,1,51.5387565,50.849562500000005,1784.0,91945.141596,90715.61950000002,17.84,91.33009599999161,-1229.5220959999883,-1247.3620959999882,-0.013566373104092906,1
2011-01-06,2011-01-07,1,49.572774,49.523226,1830.0,90718.17642,90627.50358,18.3,90.67284000000271,-90.67284000000271,-108.9728400000027,-0.0012012238814798114,1
2011-01-10,2011-01-11,1,49.7378565,50.657658500000004,1822.0,90622.374543,92298.25378700001,18.22,91.46075599999023,1675.8792440000077,1657.6592440000077,0.0182919422753975,1
2011-01-12,2011-01-13,1,50.629301999999996,48.95551,1822.0,92246.588244,89196.93922,18.22,90.72102399999363,-3049.649023999998,-3067.869023999998,-0.0332572627606045,1
2011-01-14,2011-01-18,1,47.955966,48.7106325,1860.0,89198.09676,90601.77645,18.6,89.90030999998353,1403.6796900000113,1385.0796900000114,0.015528130535416722,1
2011-01-19,2011-01-20,1,48.30514049999999,47.628174,1875.0,90572.13843749999,89302.82625,18.75,89.9371874999888,-1269.3121874999847,-1288.0621874999847,-0.014221395339901598,1
2011-01-21,2011-01-24,1,47.143559999999994,46.62467600000001,1894.0,89289.90263999999,88307.13634400001,18.94,88.79829599998388,-982.766295999973,-1001.706295999973,-0.011218584256258667,1
2011-01-25,2011-01-26,1,46.391184,48.151912,1903.0,88282.423152,91633.08853600001,19.03,89.95861599999913,3350.6653840000004,3331.635384,0.03773837718821749,1
