lookback,threshold,quarter,direction,fit_window_rows,sharpe_momentum,n_trades_momentum,sharpe_reversal,n_trades_reversal,fallback_used
5,0.005,2006Q4,reversal,87,-1.73025551244473,79,1.73025551244473,79,False
5,0.005,2007Q1,reversal,150,-1.1929767356934862,135,1.1929767356934862,135,False
5,0.005,2007Q2,reversal,211,-0.8618826845801669,190,0.8618826845801669,190,False
5,0.005,2007Q3,reversal,274,-1.0170398033816215,249,1.0170398033816215,249,False
5,0.005,2007Q4,reversal,337,-0.40150549829586324,308,0.40150549829586324,308,False
5,0.005,2008Q1,reversal,401,-0.3034748404152204,363,0.3034748404152204,363,False
5,0.005,2008Q2,reversal,462,-0.4627339016809775,422,0.4627339016809775,422,False
5,0.005,2008Q3,reversal,526,-0.6449157442995268,480,0.6449157442995268,480,False
5,0.005,2008Q4,reversal,590,-0.13495406598236184,544,0.13495406598236184,544,False
5,0.005,2009Q1,reversal,654,-0.43098917490495536,606,0.43098917490495536,606,False
5,0.005,2009Q2,reversal,715,-0.2502777164647768,664,0.2502777164647768,664,False
5,0.005,2009Q3,reversal,778,-0.29707230999490375,725,0.29707230999490375,725,False
5,0.005,2009Q4,reversal,842,-0.3534329519131855,786,0.3534329519131855,786,False
5,0.005,2010Q1,reversal,906,-0.36405619734496925,847,0.36405619734496925,847,False
5,0.005,2010Q2,reversal,967,-0.39059372118149915,902,0.39059372118149915,902,False
5,0.005,2010Q3,reversal,1030,-0.38805063901241527,961,0.38805063901241527,961,False
5,0.005,2010Q4,reversal,1094,-0.444909677983857,1016,0.444909677983857,1016,False
5,0.005,2011Q1,reversal,1158,-0.4254481408778695,1071,0.4254481408778695,1071,False
5,0.005,2011Q2,reversal,1220,-0.36540166620703046,1126,0.36540166620703046,1126,False
5,0.005,2011Q3,reversal,1283,-0.30918194669325333,1187,0.30918194669325333,1187,False
5,0.005,2011Q4,reversal,1347,-0.2969911182636025,1250,0.2969911182636025,1250,False
5,0.005,2012Q1,reversal,1410,-0.3054594195623845,1309,0.3054594195623845,1309,False
5,0.005,2012Q2,reversal,1472,-0.2951530072586813,1367,0.2951530072586813,1367,False
5,0.005,2012Q3,reversal,1535,-0.3066076188828853,1426,0.3066076188828853,1426,False
5,0.005,2012Q4,reversal,1598,-0.33533860526209297,1486,0.33533860526209297,1486,False
5,0.005,2013Q1,reversal,1660,-0.41523205130024243,1541,0.41523205130024243,1541,False
5,0.005,2013Q2,reversal,1720,-0.3928379660944468,1594,0.3928379660944468,1594,False
5,0.005,2013Q3,reversal,1784,-0.34152116542770083,1655,0.34152116542770083,1655,False
5,0.005,2013Q4,reversal,1848,-0.3724720168031054,1714,0.3724720168031054,1714,False
5,0.005,2014Q1,reversal,1912,-0.3403724409736275,1774,0.3403724409736275,1774,False
5,0.005,2014Q2,reversal,1973,-0.37664883039086494,1832,0.37664883039086494,1832,False
5,0.005,2014Q3,reversal,2036,-0.32851328331545804,1888,0.32851328331545804,1888,False
5,0.005,2014Q4,reversal,2100,-0.3191430977308147,1945,0.3191430977308147,1945,False
5,0.005,2015Q1,reversal,2164,-0.11624727334194869,2004,0.11624727334194869,2004,False
5,0.005,2015Q2,reversal,2225,-0.08301953640980476,2060,0.08301953640980476,2060,False
5,0.005,2015Q3,reversal,2288,-0.12477185555717392,2116,0.12477185555717392,2116,False
5,0.005,2015Q4,reversal,2352,-0.07227997916145056,2176,0.07227997916145056,2176,False
5,0.005,2016Q1,reversal,2416,-0.06602519170033137,2236,0.06602519170033137,2236,False
5,0.005,2016Q2,reversal,2477,-0.10502140618367871,2293,0.10502140618367871,2293,False
5,0.005,2016Q3,reversal,2541,-0.044220610519975605,2355,0.044220610519975605,2355,False
5,0.005,2016Q4,reversal,2605,-0.010938494053767064,2416,0.010938494053767064,2416,False
5,0.005,2017Q1,reversal,2668,-0.00894778654274117,2475,0.00894778654274117,2475,False
5,0.005,2017Q2,momentum,2730,0.044323674032885965,2534,-0.044323674032885965,2534,False
5,0.005,2017Q3,momentum,2793,0.04746523780562199,2591,-0.04746523780562199,2591,False
5,0.005,2017Q4,momentum,2856,0.0602324736935965,2647,-0.0602324736935965,2647,False
5,0.005,2018Q1,momentum,2919,0.08872096916577625,2706,-0.08872096916577625,2706,False
5,0.005,2018Q2,momentum,2980,0.06136699241018665,2761,-0.06136699241018665,2761,False
5,0.005,2018Q3,momentum,3044,0.043177788005903654,2807,-0.043177788005903654,2807,False
5,0.005,2018Q4,momentum,3107,0.06617684873316128,2865,-0.06617684873316128,2865,False
5,0.01,2006Q4,reversal,87,-1.2895429906185822,76,1.2895429906185822,76,False
